topology,trial,graph_seed,nodes,edges,mean_degree,density,clustering,transitivity,assortativity,components,lcc_fraction
ER,10,1128251173,1000,3043,6.086,0.006092092092092092,0.0048038017538017536,0.005509939498703544,-0.019859342910940932,3,0.998
ER,11,1111473554,1000,3022,6.044,0.0060500500500500504,0.006029342879342879,0.006304961008793761,-0.04358478067976547,2,0.999
ER,12,1094695935,1000,3066,6.132,0.0061381381381381385,0.006788397713397713,0.006670902160101652,-0.021300035710562687,2,0.999
ER,13,1077918316,1000,2958,5.916,0.005921921921921922,0.006133771783771784,0.006348298541607092,-0.03081409478540515,2,0.999
ER,14,1061140697,1000,3068,6.136,0.006142142142142142,0.006982933732933732,0.006515175591927539,-0.048656413019609344,5,0.996
ER,15,1044363078,1000,2996,5.992,0.005997997997997998,0.004953324453324453,0.006174556377593592,0.0067848605100788275,3,0.998
ER,16,1027585459,1000,3039,6.078,0.006084084084084084,0.007871045621045621,0.007585751978891821,-0.01138735158775753,2,0.999
ER,17,1010807840,1000,2978,5.956,0.005961961961961962,0.007372705072705073,0.006952687807359675,8.653357853227594e-05,3,0.998
ER,18,1262472125,1000,2899,5.798,0.005803803803803804,0.004353873903873904,0.00555456011467479,-0.005992618201753013,2,0.999
ER,19,1245694506,1000,3040,6.08,0.006086086086086086,0.0063203130203130205,0.006514657980456026,-0.005858312350536478,3,0.998
ER,20,1229063982,1000,3007,6.014,0.00602002002002002,0.0060483405483405485,0.006162558294470353,-0.004361352233658012,1,1.0
ER,21,1245841601,1000,2924,5.848,0.005853853853853854,0.004349134199134199,0.004771442035815269,-0.008289802464542329,2,0.999
ER,22,1195508744,1000,2982,5.964,0.00596996996996997,0.0045849206349206344,0.004513289129102357,-0.003572390392120825,5,0.996
ER,23,1212286363,1000,3120,6.24,0.006246246246246246,0.006357548007548007,0.006584320130665578,0.0201927075975604,1,1.0
ER,24,1296174458,1000,2949,5.898,0.005903903903903904,0.006689948939948939,0.005202312138728324,-0.005933831566572038,2,0.999
ER,25,1312952077,1000,3018,6.036,0.006042042042042042,0.006975335775335776,0.006550933508024894,-0.02100052732143808,2,0.999
ER,26,1262619220,1000,2954,5.908,0.005913913913913914,0.007612676212676212,0.00807837744929529,-0.021363780137909454,2,0.999
ER,27,1279396839,1000,3007,6.014,0.00602002002002002,0.0047998667998668,0.0053226879574184965,0.00501652223873615,3,0.998
ER,28,1094843030,1000,2988,5.976,0.005981981981981982,0.005646275946275946,0.006534487573303546,-0.02151039822763821,3,0.998
ER,29,1111620649,1000,3076,6.152,0.006158158158158158,0.003954595404595405,0.0044519821920712315,-0.007440568173084038,3,0.998
ER,30,1329876791,1000,2978,5.956,0.005961961961961962,0.004304589854589855,0.004541631623212783,-0.018066342135617214,2,0.999
ER,31,1313099172,1000,2800,5.6,0.005605605605605605,0.005941824841824842,0.006757626464152401,-0.0063052994026682255,7,0.994
ER,32,1363432029,1000,3085,6.17,0.006176176176176176,0.005002047952047952,0.0056594875019651,-0.02369602934312965,2,0.999
ER,33,1346654410,1000,2977,5.954,0.0059599599599599595,0.004944449994449994,0.004714333819732855,-0.017670201322998503,3,0.998
ER,34,1262766315,1000,3112,6.224,0.0062302302302302305,0.006466239316239316,0.006114130434782609,0.015460146882873933,3,0.998
ER,35,1245988696,1000,2948,5.896,0.005901901901901902,0.0035557720057720057,0.004005805515239477,-0.001177732724393738,4,0.997
ER,36,1296321553,1000,3056,6.112,0.006118118118118118,0.0057996891996891994,0.006001622060016221,-0.02453271370232996,2,0.999
ER,37,1279543934,1000,3055,6.11,0.006116116116116116,0.0066629287379287375,0.0056683221766357155,0.01733576254457583,2,0.999
ER,38,1195655839,1000,2860,5.72,0.005725725725725726,0.006156732156732157,0.0070409486751899205,0.007982259130084697,2,0.999
ER,39,1178878220,1000,2931,5.862,0.0058678678678678675,0.00347013542013542,0.004686686339177226,-0.001332960885081391,1,1.0
ER,40,1160967768,1000,2954,5.908,0.005913913913913914,0.004482040182040182,0.005139333028780265,-0.027171982114506523,1,1.0
ER,41,1177745387,1000,2976,5.952,0.005957957957957958,0.005851154401154401,0.005954406260632868,0.018375704490824242,5,0.996
ER,42,1194523006,1000,2947,5.894,0.0058998998998998995,0.005435936285936286,0.005200809014735626,0.011176507423282491,2,0.999
ER,43,1211300625,1000,3063,6.126,0.006132132132132132,0.005263433788433788,0.0051312202683200595,-0.02433452288423362,2,0.999
ER,44,1228078244,1000,2908,5.816,0.005821821821821822,0.008214213564213564,0.006903876792352629,-0.01187616577156737,1,1.0
ER,45,1244855863,1000,2973,5.946,0.005951951951951952,0.004898035298035298,0.005419442249068533,-0.00046326303182600207,3,0.998
ER,46,1261633482,1000,3054,6.108,0.006114114114114114,0.006781723831723831,0.005809575040344271,-0.012853091118540433,3,0.998
ER,47,1278411101,1000,3080,6.16,0.006166166166166167,0.006866627816627816,0.006657156443176415,-0.00687107062519088,5,0.996
ER,48,1026746816,1000,2936,5.872,0.005877877877877878,0.004309983643807172,0.00553377910998386,-0.008954489968680894,6,0.995
ER,49,1043524435,1000,3035,6.07,0.006076076076076076,0.004979870129870129,0.004412485700277823,0.003881820434424457,3,0.998
ER,50,3409315809,1000,2880,5.76,0.005765765765765766,0.007231840381840381,0.006699661999034283,0.013869727222363832,7,0.994
ER,51,3392538190,1000,2925,5.85,0.005855855855855856,0.005255461205461205,0.005183734592788849,0.004953308093666815,4,0.997
ER,52,3375760571,1000,3016,6.032,0.006038038038038038,0.005411116661116661,0.006308450002766864,-0.02303065183295892,2,0.999
ER,53,3358982952,1000,3003,6.006,0.006012012012012012,0.007817218892218892,0.008139985602746553,0.01116165933498849,5,0.996
ER,54,3476426285,1000,3092,6.184,0.00619019019019019,0.006860495060495061,0.006591681925189641,0.008001442357518408,2,0.999
ER,55,3459648666,1000,2962,5.924,0.0059299299299299295,0.006537018537018537,0.00744290950098675,-0.0026044501937151007,7,0.994
ER,56,3442871047,1000,2947,5.894,0.0058998998998998995,0.005075163725163726,0.005495134516313681,0.002574117628379677,3,0.998
ER,57,3426093428,1000,3002,6.004,0.00601001001001001,0.005092646242646243,0.006370494551550712,0.04263953057669661,2,0.999
ER,58,3275094857,1000,2932,5.864,0.0058698698698698695,0.007191941391941392,0.007206890490420109,-0.0014224826333378226,2,0.999
ER,59,3258317238,1000,2964,5.928,0.005933933933933934,0.005959806043629573,0.006678844616965407,-0.002049217379773737,4,0.997
ER,60,3510128618,1000,2983,5.966,0.005971971971971972,0.004524886224886225,0.004535782282450443,0.0052385007138989895,6,0.995
ER,61,3526906237,1000,2939,5.878,0.005883883883883884,0.005958652458652458,0.0057090133210310826,0.027188161128876624,5,0.996
ER,62,3476573380,1000,3009,6.018,0.006024024024024024,0.004239081180257651,0.004990850108135086,0.02454979372009521,5,0.996
ER,63,3493350999,1000,3024,6.048,0.006054054054054054,0.003721500721500721,0.004869075957584938,0.013923572785463254,3,0.998
ER,64,3443018142,1000,3014,6.028,0.006034034034034034,0.006565662115662115,0.006351682638734121,-0.002098356659129654,4,0.997
ER,65,3459795761,1000,3082,6.164,0.0061701701701701705,0.005654662004662004,0.00664521913401192,-0.005942911991758592,1,1.0
ER,66,3409462904,1000,3046,6.092,0.006098098098098098,0.005385325785325785,0.005874993200239351,-0.014399350538772287,4,0.997
ER,67,3426240523,1000,2898,5.796,0.005801801801801802,0.0048966366966366965,0.004973945997157745,0.0015684380875904754,4,0.997
ER,68,3375907666,1000,2979,5.958,0.005963963963963964,0.005567920967920967,0.0050778605280974946,0.0016127910637390257,1,1.0
ER,69,3392685285,1000,3042,6.084,0.00609009009009009,0.005338555888555889,0.005641824727311805,-0.007147139359132562,4,0.997
ER,70,3074057619,1000,3042,6.084,0.00609009009009009,0.005581074481074481,0.004905434130920586,-0.004263239048865518,3,0.998
ER,71,3057280000,1000,3019,6.038,0.006044044044044044,0.006523232323232323,0.007154083789496504,0.005649493122883948,4,0.997
ER,72,3107612857,1000,2894,5.788,0.005793793793793794,0.006473065823065823,0.00581465778316172,0.015537330707224581,4,0.997
ER,73,3090835238,1000,2936,5.872,0.005877877877877878,0.003898989898989899,0.004418262150220913,0.0002744662141710218,2,0.999
ER,74,3141168095,1000,3003,6.006,0.006012012012012012,0.006692518592518592,0.006588338640606127,-0.001425901440467909,4,0.997
ER,75,3124390476,1000,2938,5.876,0.005881881881881882,0.00638051948051948,0.005430022771063234,0.0066764992536006125,3,0.998
ER,76,3174723333,1000,3033,6.066,0.006072072072072072,0.005757120657120657,0.006548788474132285,0.03468011444667602,3,0.998
ER,77,3157945714,1000,3004,6.008,0.006014014014014014,0.004937162837162837,0.004803975704030922,0.023745549025357582,2,0.999
ER,78,3208278571,1000,3033,6.066,0.006072072072072072,0.004251010101010101,0.005204662510165357,-0.0076192515779738386,5,0.996
ER,79,3191500952,1000,3073,6.146,0.006152152152152152,0.0061500777000777,0.006160164271047228,0.021271223012177612,4,0.997
ER,80,3442032404,1000,3053,6.106,0.006112112112112112,0.006347308247308247,0.007871907464924494,0.0076983543938654074,2,0.999
ER,81,3458810023,1000,3000,6.0,0.006006006006006006,0.006288888888888889,0.007018716577540107,-0.004153955013192224,3,0.998
ER,82,3475587642,1000,3043,6.086,0.006092092092092092,0.006829564879564879,0.006918895173246939,-0.021060214335017462,4,0.997
ER,83,3492365261,1000,2976,5.952,0.005957957957957958,0.005705849705849706,0.006227558348294434,0.029869690558036847,3,0.998
ER,84,3374921928,1000,3000,6.0,0.006006006006006006,0.004609090909090909,0.005690376569037657,-0.025540581777407825,2,0.999
ER,85,3391699547,1000,3072,6.144,0.00615015015015015,0.004778016428016427,0.004467372227835983,-0.007174941408327348,2,0.999
ER,86,3408477166,1000,2965,5.93,0.005935935935935936,0.007504545454545455,0.006505364072129651,0.01662409895335606,5,0.996
