topology,trial,beta,gamma,fraction,strategy,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,6,0.01,0.05,0.05,degree,,,0.0,0.0,7.0,0.008,72.0,0.038,305.0,267.0,3.0,22.0,0.05
ER,6,0.01,0.05,0.05,betweenness,,,0.0,0.0,6.0,0.006,61.0,0.036,373.0,337.0,1.0,18.0,0.05
ER,6,0.01,0.05,0.05,kcore,,,0.0,0.0,9.0,0.034,593.0,0.165,2759.0,2594.0,29.0,203.0,0.05
ER,6,0.01,0.05,0.05,collective_influence,,,0.0,0.0,5.0,0.011,127.0,0.054,575.0,521.0,6.0,49.0,0.05
ER,6,0.01,0.05,0.05,community_bridge,,,0.0,0.0,7.0,0.01,244.0,0.051,1065.0,1014.0,5.0,128.0,0.05
ER,6,0.02,0.05,0.05,random,43.0,108.0,1.0,1.0,146.0,0.656,13073.0,0.926,34338.0,33412.0,651.0,279.0,0.05
ER,6,0.02,0.05,0.05,degree,112.0,305.0,1.0,1.0,80.0,0.526,9955.0,0.894,25627.0,24733.0,521.0,405.0,0.05
ER,6,0.02,0.05,0.05,betweenness,67.0,136.0,1.0,1.0,122.0,0.619,12445.0,0.918,30985.0,30067.0,614.0,283.0,0.05
ER,6,0.02,0.05,0.05,kcore,52.0,119.0,1.0,1.0,138.0,0.665,14296.0,0.931,30176.0,29245.0,660.0,297.0,0.05
ER,6,0.02,0.05,0.05,collective_influence,76.0,181.0,1.0,1.0,112.0,0.604,12333.0,0.916,30623.0,29707.0,599.0,412.0,0.05
ER,6,0.02,0.05,0.05,community_bridge,132.0,240.0,1.0,1.0,100.0,0.561,10793.0,0.906,27973.0,27067.0,556.0,454.0,0.05
ER,6,0.05,0.05,0.05,random,18.0,30.0,1.0,1.0,432.0,0.891,17151.0,0.942,18469.0,17527.0,886.0,173.0,0.05
ER,6,0.05,0.05,0.05,degree,23.0,38.0,1.0,1.0,402.0,0.871,18015.0,0.939,18520.0,17581.0,866.0,192.0,0.05
