family,value,topology,trial,beta,gamma,initial_spreaders,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
seed_count,10,WS,3,0.15,0.05,10,6.0,14.0,1.0,1.0,651.0,1.0,19738.0,0.99,7334.0,6344.0,990.0,160.0,0.0
seed_count,10,WS,3,0.02,0.05,10,,,0.0,0.0,22.0,0.091,1724.0,0.207,4125.0,3918.0,81.0,207.0,0.0
seed_count,1,WS,4,0.15,0.05,1,13.0,21.0,1.0,1.0,635.0,0.998,19552.0,0.999,7521.0,6522.0,997.0,167.0,0.0
seed_count,1,WS,4,0.02,0.05,1,,,0.0,0.0,20.0,0.084,1791.0,0.181,4105.0,3924.0,83.0,192.0,0.0
seed_count,5,WS,4,0.15,0.05,5,9.0,17.0,1.0,1.0,643.0,0.998,19180.0,0.995,7426.0,6431.0,993.0,154.0,0.0
seed_count,5,WS,4,0.02,0.05,5,191.0,,1.0,0.0,54.0,0.447,9093.0,0.773,21823.0,21050.0,442.0,500.0,0.0
seed_count,10,WS,4,0.15,0.05,10,5.0,13.0,1.0,1.0,636.0,1.0,21002.0,0.99,7358.0,6368.0,990.0,237.0,0.0
seed_count,10,WS,4,0.02,0.05,10,53.0,,1.0,0.0,39.0,0.369,7207.0,0.666,17646.0,16980.0,359.0,419.0,0.0
seed_count,1,WS,5,0.15,0.05,1,19.0,27.0,1.0,1.0,668.0,1.0,21055.0,0.999,7236.0,6237.0,999.0,161.0,0.0
seed_count,1,WS,5,0.02,0.05,1,119.0,,1.0,0.0,47.0,0.338,6429.0,0.615,16236.0,15621.0,337.0,309.0,0.0
seed_count,5,WS,5,0.15,0.05,5,8.0,15.0,1.0,1.0,629.0,1.0,19970.0,0.995,7182.0,6187.0,995.0,134.0,0.0
seed_count,5,WS,5,0.02,0.05,5,83.0,,1.0,0.0,54.0,0.49,9637.0,0.809,21377.0,20568.0,485.0,500.0,0.0
seed_count,10,WS,5,0.15,0.05,10,7.0,14.0,1.0,1.0,648.0,1.0,19131.0,0.99,7635.0,6645.0,990.0,170.0,0.0
seed_count,10,WS,5,0.02,0.05,10,58.0,,1.0,0.0,63.0,0.384,7739.0,0.713,19244.0,18531.0,374.0,300.0,0.0
seed_count,1,WS,6,0.15,0.05,1,17.0,25.0,1.0,1.0,669.0,1.0,20516.0,0.999,7348.0,6349.0,999.0,152.0,0.0
seed_count,1,WS,6,0.02,0.05,1,,,0.0,0.0,12.0,0.023,500.0,0.048,1106.0,1058.0,22.0,105.0,0.0
seed_count,5,WS,6,0.15,0.05,5,9.0,16.0,1.0,1.0,639.0,0.999,20039.0,0.995,7496.0,6501.0,994.0,171.0,0.0
seed_count,5,WS,6,0.02,0.05,5,166.0,,1.0,0.0,18.0,0.159,3182.0,0.335,7798.0,7463.0,154.0,300.0,0.0
seed_count,10,WS,6,0.15,0.05,10,7.0,14.0,1.0,1.0,655.0,1.0,20061.0,0.99,7328.0,6338.0,990.0,133.0,0.0
seed_count,10,WS,6,0.02,0.05,10,140.0,,1.0,0.0,31.0,0.287,5710.0,0.578,15215.0,14637.0,277.0,419.0,0.0
seed_count,1,WS,7,0.15,0.05,1,,,0.0,0.0,1.0,0.001,1.0,0.006,6.0,0.0,0.0,1.0,0.0
seed_count,1,WS,7,0.02,0.05,1,,,0.0,0.0,8.0,0.03,626.0,0.066,1356.0,1290.0,29.0,213.0,0.0
seed_count,5,WS,7,0.15,0.05,5,9.0,16.0,1.0,1.0,591.0,1.0,19780.0,0.995,7719.0,6724.0,995.0,144.0,0.0
seed_count,5,WS,7,0.02,0.05,5,71.0,,1.0,0.0,70.0,0.417,8201.0,0.729,18571.0,17842.0,412.0,297.0,0.0
seed_count,10,WS,7,0.15,0.05,10,5.0,12.0,1.0,1.0,637.0,1.0,19495.0,0.99,7522.0,6532.0,990.0,120.0,0.0
seed_count,10,WS,7,0.02,0.05,10,76.0,,1.0,0.0,27.0,0.199,3469.0,0.459,9889.0,9430.0,189.0,231.0,0.0
seed_count,1,WS,9,0.15,0.05,1,15.0,23.0,1.0,1.0,648.0,1.0,20118.0,0.999,7445.0,6446.0,999.0,188.0,0.0
seed_count,1,WS,9,0.02,0.05,1,,,0.0,0.0,17.0,0.064,1291.0,0.153,2999.0,2846.0,63.0,210.0,0.0
seed_count,5,WS,9,0.15,0.05,5,7.0,15.0,1.0,1.0,618.0,1.0,18800.0,0.995,7491.0,6496.0,995.0,153.0,0.0
seed_count,5,WS,9,0.02,0.05,5,,,0.0,0.0,13.0,0.029,419.0,0.073,1214.0,1141.0,24.0,61.0,0.0
seed_count,10,WS,9,0.15,0.05,10,5.0,12.0,1.0,1.0,631.0,1.0,19429.0,0.99,7684.0,6694.0,990.0,200.0,0.0
seed_count,10,WS,9,0.02,0.05,10,36.0,,1.0,0.0,50.0,0.31,6256.0,0.581,14614.0,14033.0,300.0,258.0,0.0
seed_count,1,WS,10,0.15,0.05,1,12.0,21.0,1.0,1.0,612.0,1.0,19433.0,0.999,7891.0,6892.0,999.0,162.0,0.0
seed_count,1,WS,10,0.02,0.05,1,,,0.0,0.0,12.0,0.022,353.0,0.063,879.0,816.0,21.0,68.0,0.0
seed_count,5,WS,10,0.15,0.05,5,9.0,18.0,1.0,1.0,637.0,1.0,20076.0,0.995,7447.0,6452.0,995.0,153.0,0.0
seed_count,5,WS,10,0.02,0.05,5,,,0.0,0.0,11.0,0.023,393.0,0.058,1322.0,1264.0,18.0,76.0,0.0
