topology,trial,strategy,fraction,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
BA,7,pagerank,0.01,8.0,12.0,1.0,1.0,691.0,0.971,19967.0,0.984,7108.0,6124.0,966.0,134.0,0.01
BA,7,pagerank,0.05,10.0,18.0,1.0,1.0,505.0,0.891,17977.0,0.928,6449.0,5521.0,886.0,147.0,0.05
BA,7,pagerank,0.1,17.0,30.0,1.0,1.0,376.0,0.738,14874.0,0.809,4828.0,4019.0,733.0,180.0,0.1
BA,7,random,0.01,4.0,7.0,1.0,1.0,719.0,0.985,19868.0,0.985,7332.0,6347.0,980.0,118.0,0.01
BA,7,random,0.05,5.0,8.0,1.0,1.0,710.0,0.945,18120.0,0.945,6819.0,5874.0,940.0,167.0,0.05
BA,7,random,0.1,5.0,9.0,1.0,1.0,640.0,0.889,18324.0,0.895,6810.0,5915.0,884.0,163.0,0.1
BA,8,betweenness,0.01,6.0,10.0,1.0,1.0,718.0,0.978,18912.0,0.984,7030.0,6046.0,973.0,172.0,0.01
BA,8,betweenness,0.05,10.0,17.0,1.0,1.0,540.0,0.906,18371.0,0.93,6192.0,5262.0,901.0,160.0,0.05
BA,8,betweenness,0.1,11.0,23.0,1.0,1.0,428.0,0.799,16129.0,0.84,5364.0,4524.0,794.0,130.0,0.1
BA,8,collective_influence,0.01,6.0,10.0,1.0,1.0,699.0,0.976,19147.0,0.984,7129.0,6145.0,971.0,166.0,0.01
BA,8,collective_influence,0.05,9.0,17.0,1.0,1.0,558.0,0.898,17799.0,0.931,6075.0,5144.0,893.0,228.0,0.05
