topology,trial,behavior,fraction,strategy,t10,t50,reached_10,reached_50,peak_infected,final_size,active_spreader_auc,unique_exposed_fraction,attempted_exposures,repeat_exposures,successful_transmissions,duration,protected_fraction
ER,4,homogeneous,0.05,community_bridge,7.0,12.0,1.0,1.0,653.0,0.936,18704.0,0.939,6861.0,5922.0,931.0,170.0,0.05
ER,4,moderate,0.05,random,7.0,11.0,1.0,1.0,650.0,0.932,18729.0,0.942,7504.0,6562.0,927.0,156.0,0.05
ER,4,moderate,0.05,degree,7.0,13.0,1.0,1.0,627.0,0.921,17964.0,0.941,6905.0,5964.0,916.0,281.0,0.05
ER,4,moderate,0.05,betweenness,7.0,12.0,1.0,1.0,619.0,0.941,18827.0,0.942,7230.0,6288.0,936.0,152.0,0.05
ER,4,moderate,0.05,kcore,7.0,13.0,1.0,1.0,626.0,0.922,17900.0,0.941,7340.0,6399.0,917.0,138.0,0.05
ER,4,moderate,0.05,collective_influence,10.0,16.0,1.0,1.0,600.0,0.933,18786.0,0.94,7767.0,6827.0,928.0,208.0,0.05
ER,4,moderate,0.05,community_bridge,6.0,12.0,1.0,1.0,641.0,0.935,19109.0,0.94,7355.0,6415.0,930.0,207.0,0.05
ER,4,strong,0.05,random,7.0,12.0,1.0,1.0,664.0,0.932,19902.0,0.942,8440.0,7498.0,927.0,139.0,0.05
ER,4,strong,0.05,degree,8.0,14.0,1.0,1.0,601.0,0.917,18139.0,0.941,8770.0,7829.0,912.0,181.0,0.05
ER,4,strong,0.05,betweenness,7.0,13.0,1.0,1.0,598.0,0.923,18554.0,0.941,8810.0,7869.0,918.0,157.0,0.05
ER,4,strong,0.05,kcore,8.0,14.0,1.0,1.0,605.0,0.928,18824.0,0.942,8336.0,7394.0,923.0,179.0,0.05
ER,4,strong,0.05,collective_influence,6.0,12.0,1.0,1.0,591.0,0.917,19068.0,0.941,8520.0,7579.0,912.0,169.0,0.05
ER,4,strong,0.05,community_bridge,7.0,13.0,1.0,1.0,576.0,0.921,18135.0,0.94,8665.0,7725.0,916.0,130.0,0.05
ER,4,degree_correlated,0.05,random,6.0,9.0,1.0,1.0,703.0,0.939,18689.0,0.942,5631.0,4689.0,934.0,147.0,0.05
ER,4,degree_correlated,0.05,degree,7.0,12.0,1.0,1.0,656.0,0.936,18941.0,0.941,6120.0,5179.0,931.0,183.0,0.05
ER,4,degree_correlated,0.05,betweenness,7.0,12.0,1.0,1.0,672.0,0.937,19957.0,0.942,6198.0,5256.0,932.0,159.0,0.05
ER,4,degree_correlated,0.05,kcore,6.0,11.0,1.0,1.0,649.0,0.933,18811.0,0.942,6317.0,5375.0,928.0,154.0,0.05
ER,4,degree_correlated,0.05,collective_influence,7.0,11.0,1.0,1.0,646.0,0.935,18974.0,0.942,6802.0,5860.0,930.0,145.0,0.05
ER,4,degree_correlated,0.05,community_bridge,7.0,11.0,1.0,1.0,640.0,0.929,18184.0,0.941,6249.0,5308.0,924.0,157.0,0.05
ER,1,homogeneous,0.05,random,6.0,11.0,1.0,1.0,678.0,0.938,18896.0,0.94,6922.0,5982.0,933.0,202.0,0.05
ER,1,homogeneous,0.05,degree,7.0,12.0,1.0,1.0,636.0,0.931,19959.0,0.941,7272.0,6331.0,926.0,174.0,0.05
ER,1,homogeneous,0.05,betweenness,8.0,12.0,1.0,1.0,636.0,0.93,18117.0,0.937,7058.0,6121.0,925.0,181.0,0.05
ER,1,homogeneous,0.05,kcore,7.0,12.0,1.0,1.0,634.0,0.93,17992.0,0.941,6598.0,5657.0,925.0,138.0,0.05
ER,1,homogeneous,0.05,collective_influence,8.0,13.0,1.0,1.0,634.0,0.932,19096.0,0.941,6643.0,5702.0,927.0,219.0,0.05
ER,1,homogeneous,0.05,community_bridge,6.0,10.0,1.0,1.0,632.0,0.938,18625.0,0.941,6695.0,5754.0,933.0,139.0,0.05
ER,1,moderate,0.05,random,10.0,14.0,1.0,1.0,653.0,0.937,19017.0,0.939,7708.0,6769.0,932.0,151.0,0.05
ER,1,moderate,0.05,degree,8.0,14.0,1.0,1.0,620.0,0.927,18438.0,0.94,7256.0,6316.0,922.0,202.0,0.05
ER,1,moderate,0.05,betweenness,7.0,12.0,1.0,1.0,659.0,0.929,19436.0,0.938,7019.0,6081.0,924.0,180.0,0.05
ER,1,moderate,0.05,kcore,7.0,12.0,1.0,1.0,624.0,0.933,18654.0,0.941,6932.0,5991.0,928.0,198.0,0.05
ER,1,moderate,0.05,collective_influence,6.0,12.0,1.0,1.0,607.0,0.933,18688.0,0.941,6851.0,5910.0,928.0,143.0,0.05
ER,1,moderate,0.05,community_bridge,7.0,12.0,1.0,1.0,625.0,0.933,18805.0,0.941,6987.0,6046.0,928.0,128.0,0.05
ER,1,strong,0.05,random,9.0,15.0,1.0,1.0,569.0,0.916,17629.0,0.94,9324.0,8384.0,911.0,138.0,0.05
ER,1,strong,0.05,degree,6.0,12.0,1.0,1.0,600.0,0.924,18880.0,0.941,7865.0,6924.0,919.0,141.0,0.05
ER,1,strong,0.05,betweenness,5.0,11.0,1.0,1.0,606.0,0.909,17599.0,0.938,8728.0,7790.0,904.0,131.0,0.05
ER,1,strong,0.05,kcore,7.0,13.0,1.0,1.0,612.0,0.922,18860.0,0.941,8437.0,7496.0,917.0,179.0,0.05
ER,1,strong,0.05,collective_influence,6.0,12.0,1.0,1.0,593.0,0.924,19106.0,0.941,8502.0,7561.0,919.0,185.0,0.05
ER,1,strong,0.05,community_bridge,6.0,12.0,1.0,1.0,585.0,0.912,19046.0,0.939,8671.0,7732.0,907.0,151.0,0.05
