behavior,topology,strategy,t10,t10,t50,t50,reached_50,reached_50,final_size,final_size,active_spreader_auc,active_spreader_auc,unique_exposed_fraction,unique_exposed_fraction,attempted_exposures,attempted_exposures
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
moderate,ER,kcore,7.05,0.9445132413883326,12.05,1.1459310165698642,1.0,0.0,0.9294,0.005082477638649141,18705.25,517.146306794874,0.93995,0.0021392325234704207,7156.05,279.4058498803641
moderate,ER,random,6.55,1.4680814547887788,10.95,1.4317821063276355,1.0,0.0,0.9369500000000001,0.003619755734707389,18827.7,487.0989416405753,0.9416499999999999,0.0017252002172135688,7381.35,250.4510194786493
moderate,WS,betweenness,9.95,1.4680814547887784,20.15,1.8715318802914813,1.0,0.0,0.9477,0.0023863647755750445,19010.5,662.8874239583257,0.94485,0.0004893604849295969,7464.5,170.7551340061951
moderate,WS,collective_influence,10.3,1.949358868961793,21.85,2.0844032340469214,1.0,0.0,0.94755,0.002645253942640049,18892.45,669.7819342694185,0.94485,0.0004893604849296009,7356.55,159.93830224907282
moderate,WS,community_bridge,9.95,1.669383750149485,21.45,2.01246117974981,1.0,0.0,0.9463999999999999,0.0034089665049071767,19045.85,735.6481764224553,0.94445,0.0012763022245616616,7444.2,222.33393566293134
moderate,WS,degree,9.75,1.3717065820970684,20.7,1.719853114903161,1.0,0.0,0.9433,0.00894486032958531,18755.05,547.7790060541607,0.9416,0.006150738081512489,7392.65,184.8889496000519
moderate,WS,kcore,9.45,1.2343760409722462,20.15,1.6944180805158298,1.0,0.0,0.9424999999999999,0.008720815992723785,18661.6,804.9663216230654,0.94195,0.005968998858135319,7424.1,262.24715140693644
moderate,WS,random,9.5,1.5727950313140981,18.85,1.9808291724745768,1.0,0.0,0.9484499999999999,0.001904979624148531,19018.55,623.5196763872855,0.945,0.0,7480.8,214.9091852265435
strong,BA,betweenness,10.5,2.4170447375168487,19.5,2.800375914615375,1.0,0.0,0.8554999999999999,0.01337121810771969,17214.25,680.2231735169523,0.92695,0.005256324511331189,8610.85,445.0264658008082
strong,BA,collective_influence,11.75,2.953588361726515,21.75,3.507510738251185,1.0,0.0,0.8429499999999999,0.013339592828947427,16848.7,560.382867238763,0.9216000000000001,0.005798366376107928,8469.15,372.8252412676961
strong,BA,community_bridge,10.6,2.280350850198276,20.9,2.7125439603519985,1.0,0.0,0.84335,0.01567524028188202,16926.9,759.4320523294123,0.9232000000000001,0.005809248524641771,8553.25,467.62894365871784
strong,BA,degree,12.8,3.9283048439967616,23.05,4.5477004021118645,1.0,0.0,0.8426499999999999,0.019298963702748452,17125.35,893.7696203219978,0.9211,0.006711341539748799,8478.85,437.33105309364885
strong,BA,kcore,12.8,2.6675437154214006,23.4,3.1854934344701813,1.0,0.0,0.8401500000000001,0.014669248177915045,16885.1,774.8785235866259,0.9217000000000001,0.006399835524202343,8488.45,377.10566367922314
