beta,topology,strategy,t10,t10,t50,t50,reached_50,reached_50,final_size,final_size,active_spreader_auc,active_spreader_auc,unique_exposed_fraction,unique_exposed_fraction,attempted_exposures,attempted_exposures
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0.02,BA,community_bridge,163.42857142857142,74.74368901532121,,,0.0,0.0,0.10800000000000001,0.08910313362083645,2207.2,1918.9700252726034,0.29155,0.2051863017383291,5126.9,4176.27126437977
0.02,BA,degree,143.5,76.55004304968804,,,0.0,0.0,0.14340000000000003,0.10971081604789357,2958.8,2392.131742543502,0.35819999999999996,0.239885191838008,6769.0,5163.938439846695
0.02,BA,kcore,130.33333333333334,41.31666330509601,,,0.0,0.0,0.081,0.09128324916953476,1588.5,1883.456047857376,0.22185000000000002,0.22354094762069407,3833.45,4353.4439781686215
0.02,BA,random,32.88235294117647,13.341112926500813,78.52941176470588,20.862998487330454,0.85,0.36634754853252327,0.5256000000000001,0.22313352150910148,10488.45,4520.350597429829,0.8052999999999999,0.3226813810622028,26115.6,11142.639753383584
0.02,ER,betweenness,88.70588235294117,46.091979651944804,205.64285714285714,75.35312473012256,0.7,0.47016234598162726,0.4671,0.2036265673908206,9158.2,4157.983843415612,0.7693000000000001,0.3058639360376131,23150.4,10037.405438500633
0.02,ER,collective_influence,84.15789473684211,27.574672674383923,225.875,54.235136212606676,0.8,0.41039134083406165,0.5102,0.12274046216562645,10299.55,2753.0988755257326,0.85655,0.15993237880264796,25590.35,6052.771511986538
0.02,ER,community_bridge,83.0,26.164012604253877,220.8,72.45806669082074,0.75,0.44426165831931935,0.5112,0.13812793459611805,10167.4,2968.997002356183,0.8502000000000001,0.19226834318075786,25449.2,6677.515190232777
0.02,ER,degree,91.05263157894737,37.851278687061736,227.16666666666666,91.79605193860546,0.6,0.5026246899500346,0.5012000000000001,0.12456940572269444,10000.15,2625.7555960142213,0.8488,0.18277930321622995,24722.3,5989.445129383416
0.02,ER,kcore,71.70588235294117,14.961470122795225,197.14285714285714,43.761340759338545,0.7,0.47016234598162726,0.47375,0.20618996733977857,9609.7,4312.071355966569,0.77075,0.3187944189896481,23557.7,10146.341503481102
0.02,ER,random,46.5,7.933053216343208,119.5,19.483326204732084,0.8,0.4103913408340616,0.5195000000000001,0.2637565663936909,10392.4,5359.860960490437,0.7492500000000001,0.3609108178221493,25477.2,12988.932898919431
0.02,WS,betweenness,153.2,41.41336338268925,,,0.0,0.0,0.10529999999999999,0.0778183444750793,2186.2,1719.0006766478566,0.2043,0.13122182905695468,4850.95,3480.2204629955027
